bounds,percentages,inner_cmf,outer_cmf
0.5,0.1,0.9858890078225169,0.29700000000000004
0.6,0.1,0.7661878089882456,0.29700000000000004
0.6,0.15,0.9842817134823683,0.28049999999999997
0.7,0.1,0.5982840299291373,0.297
0.7,0.15,0.7324260448937061,0.28049999999999997
0.7,0.2,0.8665680598582748,0.26399999999999996
0.8,0.1,0.4371701540971583,0.297
0.8,0.15,0.49075523114573744,0.28049999999999997
0.8,0.2,0.5443403081943166,0.26399999999999996
0.8,0.25,0.5979253852428957,0.2475
0.8,0.3,0.6515104622914749,0.23099999999999998
